epoch,avg_loss,best_loss,current_lr,no_improve_count,timestamp
47,0.03901291551999748,0.03901291551999748,0.0001,0,24-08-25-02-19-35
48,0.039201715847477316,0.03901291551999748,0.0001,1,24-08-25-02-30-33
49,0.03955093372426927,0.03901291551999748,0.0001,2,24-08-25-02-41-32
50,0.03974117312207818,0.03901291551999748,0.0001,3,24-08-25-02-52-31
51,0.03948121817596257,0.03901291551999748,0.0001,4,24-08-25-03-03-30
52,0.03881273361761123,0.03881273361761123,0.0001,0,24-08-25-03-14-40
53,0.039315104071050884,0.03881273361761123,0.0001,1,24-08-25-03-25-38
54,0.039073778276331725,0.03881273361761123,0.0001,2,24-08-25-03-36-37
55,0.039373713159002365,0.03881273361761123,0.0001,3,24-08-25-03-47-36
56,0.03909782635234296,0.03881273361761123,0.0001,4,24-08-25-03-58-35
57,0.03870915550366044,0.03870915550366044,0.0001,0,24-08-25-04-09-45
58,0.03921138697210699,0.03870915550366044,0.0001,1,24-08-25-04-20-43
59,0.038781474728137255,0.03870915550366044,0.0001,2,24-08-25-04-31-42
60,0.03917956858407706,0.03870915550366044,0.0001,3,24-08-25-04-42-40
61,0.03949779073894024,0.03870915550366044,0.0001,4,24-08-25-04-53-39
62,0.03874297837354243,0.03870915550366044,0.0001,5,24-08-25-05-04-37
63,0.03869152939878404,0.03869152939878404,0.0001,0,24-08-25-05-15-48
64,0.03868269366584718,0.03868269366584718,0.0001,0,24-08-25-05-26-57
65,0.03895278019458055,0.03868269366584718,0.0001,1,24-08-25-05-37-55
66,0.038858060764148834,0.03868269366584718,0.0001,2,24-08-25-05-48-54
67,0.0384601579029113,0.0384601579029113,0.0001,0,24-08-25-06-00-04
68,0.03853902097418904,0.0384601579029113,0.0001,1,24-08-25-06-11-02
69,0.039038831138052045,0.0384601579029113,0.0001,2,24-08-25-06-22-01
70,0.03864811613410711,0.0384601579029113,0.0001,3,24-08-25-06-33-00
71,0.038821702915243804,0.0384601579029113,0.0001,4,24-08-25-06-43-58
72,0.03870331012457609,0.0384601579029113,0.0001,5,24-08-25-06-54-57
73,0.03837852891720831,0.03837852891720831,0.0001,0,24-08-25-07-06-07
74,0.038268343800678846,0.038268343800678846,0.0001,0,24-08-25-07-17-17
75,0.03814523129630834,0.03814523129630834,0.0001,0,24-08-25-07-28-27
76,0.03874191248416901,0.03814523129630834,0.0001,1,24-08-25-07-39-26
77,0.038622864018194376,0.03814523129630834,0.0001,2,24-08-25-07-50-25
78,0.03886944991163909,0.03814523129630834,0.0001,3,24-08-25-08-01-23
79,0.03917485755961388,0.03814523129630834,0.0001,4,24-08-25-08-12-22
80,0.038602216310799124,0.03814523129630834,0.0001,5,24-08-25-08-23-21
